trip_id,arrival_time,stop_id,sequence_id,departure_time
SK_5,2023-03-21 08:03:00,S_15,14,2023-03-21 08:03:00
SK_6,2023-03-21 07:00:00,S_1,0,2023-03-21 07:00:00
SK_6,2023-03-21 07:03:00,S_2,1,2023-03-21 07:03:00
SK_6,2023-03-21 07:06:00,S_3,2,2023-03-21 07:06:00
SK_6,2023-03-21 07:12:00,S_4,3,2023-03-21 07:12:00
SK_6,2023-03-21 07:17:00,S_5,4,2023-03-21 07:17:00
SK_6,2023-03-21 07:21:00,S_6,5,2023-03-21 07:21:00
SK_6,2023-03-21 07:27:00,S_7,6,2023-03-21 07:27:00
SK_6,2023-03-21 07:31:00,S_8,7,2023-03-21 07:31:00
SK_6,2023-03-21 07:38:00,S_9,8,2023-03-21 07:38:00
SK_6,2023-03-21 07:44:00,S_10,9,2023-03-21 07:44:00
SK_6,2023-03-21 07:53:00,S_11,10,2023-03-21 07:53:00
SK_6,2023-03-21 08:01:00,S_12,11,2023-03-21 08:01:00
SK_6,2023-03-21 08:09:00,S_13,12,2023-03-21 08:09:00
SK_6,2023-03-21 08:13:00,S_14,13,2023-03-21 08:13:00
SK_6,2023-03-21 08:23:00,S_15,14,2023-03-21 08:23:00
SK_7,2023-03-21 07:15:00,S_1,0,2023-03-21 07:15:00
SK_7,2023-03-21 07:18:00,S_2,1,2023-03-21 07:18:00
SK_7,2023-03-21 07:21:00,S_3,2,2023-03-21 07:21:00
SK_7,2023-03-21 07:27:00,S_4,3,2023-03-21 07:27:00
SK_7,2023-03-21 07:32:00,S_5,4,2023-03-21 07:32:00
SK_7,2023-03-21 07:36:00,S_6,5,2023-03-21 07:36:00
SK_7,2023-03-21 07:42:00,S_7,6,2023-03-21 07:42:00
SK_7,2023-03-21 07:46:00,S_8,7,2023-03-21 07:46:00
SK_7,2023-03-21 07:53:00,S_9,8,2023-03-21 07:53:00
SK_7,2023-03-21 07:59:00,S_10,9,2023-03-21 07:59:00
SK_7,2023-03-21 08:08:00,S_11,10,2023-03-21 08:08:00
SK_7,2023-03-21 08:16:00,S_12,11,2023-03-21 08:16:00
SK_7,2023-03-21 08:24:00,S_13,12,2023-03-21 08:24:00
SK_7,2023-03-21 08:28:00,S_14,13,2023-03-21 08:28:00
SK_7,2023-03-21 08:38:00,S_15,14,2023-03-21 08:38:00
SK_8,2023-03-21 07:30:00,S_1,0,2023-03-21 07:30:00
SK_8,2023-03-21 07:33:00,S_2,1,2023-03-21 07:33:00
SK_8,2023-03-21 07:36:00,S_3,2,2023-03-21 07:36:00
SK_8,2023-03-21 07:42:00,S_4,3,2023-03-21 07:42:00
SK_8,2023-03-21 07:47:00,S_5,4,2023-03-21 07:47:00
SK_8,2023-03-21 07:51:00,S_6,5,2023-03-21 07:51:00
SK_8,2023-03-21 07:57:00,S_7,6,2023-03-21 07:57:00
SK_8,2023-03-21 08:01:00,S_8,7,2023-03-21 08:01:00
SK_8,2023-03-21 08:08:00,S_9,8,2023-03-21 08:08:00
SK_8,2023-03-21 08:14:00,S_10,9,2023-03-21 08:14:00
SK_8,2023-03-21 08:23:00,S_11,10,2023-03-21 08:23:00
SK_8,2023-03-21 08:31:00,S_12,11,2023-03-21 08:31:00
SK_8,2023-03-21 08:39:00,S_13,12,2023-03-21 08:39:00
SK_8,2023-03-21 08:43:00,S_14,13,2023-03-21 08:43:00
SK_8,2023-03-21 08:53:00,S_15,14,2023-03-21 08:53:00
SK_9,2023-03-21 07:45:00,S_1,0,2023-03-21 07:45:00
SK_9,2023-03-21 07:48:00,S_2,1,2023-03-21 07:48:00
SK_9,2023-03-21 07:51:00,S_3,2,2023-03-21 07:51:00
SK_9,2023-03-21 07:57:00,S_4,3,2023-03-21 07:57:00
SK_9,2023-03-21 08:02:00,S_5,4,2023-03-21 08:02:00
SK_9,2023-03-21 08:06:00,S_6,5,2023-03-21 08:06:00
SK_9,2023-03-21 08:12:00,S_7,6,2023-03-21 08:12:00
SK_9,2023-03-21 08:16:00,S_8,7,2023-03-21 08:16:00
SK_9,2023-03-21 08:23:00,S_9,8,2023-03-21 08:23:00
SK_9,2023-03-21 08:29:00,S_10,9,2023-03-21 08:29:00
SK_9,2023-03-21 08:38:00,S_11,10,2023-03-21 08:38:00
SK_9,2023-03-21 08:46:00,S_12,11,2023-03-21 08:46:00
SK_9,2023-03-21 08:54:00,S_13,12,2023-03-21 08:54:00
SK_9,2023-03-21 08:58:00,S_14,13,2023-03-21 08:58:00
SK_9,2023-03-21 09:08:00,S_15,14,2023-03-21 09:08:00
SK_10,2023-03-21 08:00:00,S_1,0,2023-03-21 08:00:00
SK_10,2023-03-21 08:03:00,S_2,1,2023-03-21 08:03:00
SK_10,2023-03-21 08:06:00,S_3,2,2023-03-21 08:06:00
SK_10,2023-03-21 08:12:00,S_4,3,2023-03-21 08:12:00
SK_10,2023-03-21 08:17:00,S_5,4,2023-03-21 08:17:00
SK_10,2023-03-21 08:21:00,S_6,5,2023-03-21 08:21:00
SK_10,2023-03-21 08:27:00,S_7,6,2023-03-21 08:27:00
SK_10,2023-03-21 08:31:00,S_8,7,2023-03-21 08:31:00
SK_10,2023-03-21 08:38:00,S_9,8,2023-03-21 08:38:00
SK_10,2023-03-21 08:44:00,S_10,9,2023-03-21 08:44:00
SK_10,2023-03-21 08:53:00,S_11,10,2023-03-21 08:53:00
SK_10,2023-03-21 09:01:00,S_12,11,2023-03-21 09:01:00
SK_10,2023-03-21 09:09:00,S_13,12,2023-03-21 09:09:00
SK_10,2023-03-21 09:13:00,S_14,13,2023-03-21 09:13:00
SK_10,2023-03-21 09:23:00,S_15,14,2023-03-21 09:23:00
SK_11,2023-03-21 08:10:00,S_1,0,2023-03-21 08:10:00
SK_11,2023-03-21 08:13:00,S_2,1,2023-03-21 08:13:00
SK_11,2023-03-21 08:16:00,S_3,2,2023-03-21 08:16:00
SK_11,2023-03-21 08:22:00,S_4,3,2023-03-21 08:22:00
SK_11,2023-03-21 08:27:00,S_5,4,2023-03-21 08:27:00
SK_11,2023-03-21 08:31:00,S_6,5,2023-03-21 08:31:00
SK_11,2023-03-21 08:37:00,S_7,6,2023-03-21 08:37:00
SK_11,2023-03-21 08:41:00,S_8,7,2023-03-21 08:41:00
SK_11,2023-03-21 08:48:00,S_9,8,2023-03-21 08:48:00
SK_11,2023-03-21 08:54:00,S_10,9,2023-03-21 08:54:00
SK_11,2023-03-21 09:03:00,S_11,10,2023-03-21 09:03:00
SK_11,2023-03-21 09:11:00,S_12,11,2023-03-21 09:11:00
SK_11,2023-03-21 09:19:00,S_13,12,2023-03-21 09:19:00
SK_11,2023-03-21 09:23:00,S_14,13,2023-03-21 09:23:00
SK_11,2023-03-21 09:33:00,S_15,14,2023-03-21 09:33:00
SK_12,2023-03-21 08:20:00,S_1,0,2023-03-21 08:20:00
SK_12,2023-03-21 08:23:00,S_2,1,2023-03-21 08:23:00
SK_12,2023-03-21 08:26:00,S_3,2,2023-03-21 08:26:00
SK_12,2023-03-21 08:32:00,S_4,3,2023-03-21 08:32:00
SK_12,2023-03-21 08:37:00,S_5,4,2023-03-21 08:37:00
SK_12,2023-03-21 08:41:00,S_6,5,2023-03-21 08:41:00
SK_12,2023-03-21 08:47:00,S_7,6,2023-03-21 08:47:00
SK_12,2023-03-21 08:51:00,S_8,7,2023-03-21 08:51:00
SK_12,2023-03-21 08:58:00,S_9,8,2023-03-21 08:58:00
SK_12,2023-03-21 09:04:00,S_10,9,2023-03-21 09:04:00
SK_12,2023-03-21 09:13:00,S_11,10,2023-03-21 09:13:00
SK_12,2023-03-21 09:21:00,S_12,11,2023-03-21 09:21:00
SK_12,2023-03-21 09:29:00,S_13,12,2023-03-21 09:29:00
SK_12,2023-03-21 09:33:00,S_14,13,2023-03-21 09:33:00
SK_12,2023-03-21 09:43:00,S_15,14,2023-03-21 09:43:00
SK_13,2023-03-21 08:30:00,S_1,0,2023-03-21 08:30:00
SK_13,2023-03-21 08:33:00,S_2,1,2023-03-21 08:33:00
SK_13,2023-03-21 08:36:00,S_3,2,2023-03-21 08:36:00
SK_13,2023-03-21 08:42:00,S_4,3,2023-03-21 08:42:00
SK_13,2023-03-21 08:47:00,S_5,4,2023-03-21 08:47:00
SK_13,2023-03-21 08:51:00,S_6,5,2023-03-21 08:51:00
SK_13,2023-03-21 08:57:00,S_7,6,2023-03-21 08:57:00
SK_13,2023-03-21 09:01:00,S_8,7,2023-03-21 09:01:00
SK_13,2023-03-21 09:08:00,S_9,8,2023-03-21 09:08:00
SK_13,2023-03-21 09:14:00,S_10,9,2023-03-21 09:14:00
SK_13,2023-03-21 09:23:00,S_11,10,2023-03-21 09:23:00
SK_13,2023-03-21 09:31:00,S_12,11,2023-03-21 09:31:00
SK_13,2023-03-21 09:39:00,S_13,12,2023-03-21 09:39:00
SK_13,2023-03-21 09:43:00,S_14,13,2023-03-21 09:43:00
SK_13,2023-03-21 09:53:00,S_15,14,2023-03-21 09:53:00
SK_14,2023-03-21 08:40:00,S_1,0,2023-03-21 08:40:00
SK_14,2023-03-21 08:43:00,S_2,1,2023-03-21 08:43:00
SK_14,2023-03-21 08:46:00,S_3,2,2023-03-21 08:46:00
SK_14,2023-03-21 08:52:00,S_4,3,2023-03-21 08:52:00
SK_14,2023-03-21 08:57:00,S_5,4,2023-03-21 08:57:00
SK_14,2023-03-21 09:01:00,S_6,5,2023-03-21 09:01:00
SK_14,2023-03-21 09:07:00,S_7,6,2023-03-21 09:07:00
SK_14,2023-03-21 09:11:00,S_8,7,2023-03-21 09:11:00
SK_14,2023-03-21 09:18:00,S_9,8,2023-03-21 09:18:00
SK_14,2023-03-21 09:24:00,S_10,9,2023-03-21 09:24:00
SK_14,2023-03-21 09:33:00,S_11,10,2023-03-21 09:33:00
SK_14,2023-03-21 09:41:00,S_12,11,2023-03-21 09:41:00
